,C1,C2,C3,C4,C5,C6,Valence,Arousal,like
çÇï]âø,0.106,0.093,-0.137,0.191,-0.021,0.101,0.137,0.119,0.039
í·ï]âø,-0.03,0.073,0.056,0.03,-0.098,0.184,-0.026,-0.043,0.056
