,C1,C2,C3,C4,C5,C6,Valence,Arousal,like
çÇï]âø,0.089,0.175,-0.117,0.133,-0.047,0.075,0.219,0.031,0.206
í·ï]âø,-0.022,0.025,-0.061,0.05,-0.067,0.028,-0.028,0.039,-0.086
