,C1,C2,C3,C4,C5,C6,Valence,Arousal,like
çÇï]âø,0.086,0.111,-0.185,0.201,-0.019,0.041,0.092,0.16,-0.025
í·ï]âø,-0.101,0.051,-0.076,-0.01,-0.02,0.086,0.051,-0.035,-0.061
