m_id,prime,C1,C2,C3,C4,C5,C6,Valence,Arousal,like,u_id
20,none,-1,1,0,-1,0,0,1,-1,1,6
65,lyrics,0,-1,1,1,-1,1,-1,0,1,6
17,none,0,-1,0,0,1,0,0,0,0,6
87,none,0,1,1,0,1,1,-1,0,1,6
28,popular,1,1,-1,-1,0,0,0,0,0,6
19,lyrics,-1,-1,1,-1,0,-1,-1,-1,0,6
32,none,1,0,0,0,-1,-1,0,1,0,6
10,none,1,1,0,0,1,0,0,0,0,6
14,va,1,-1,1,1,0,-1,-1,0,0,6
56,popular,1,0,0,0,0,0,0,1,0,6
21,lyrics,1,2,0,0,0,1,2,0,1,6
43,va,1,1,0,0,0,1,1,0,0,6
88,lyrics,0,1,0,0,1,0,0,-1,0,6
93,lyrics,1,0,1,1,-1,0,0,0,0,6
74,lyrics,-1,1,-1,-1,1,1,1,-1,0,6
77,lyrics,1,1,-1,0,0,1,2,1,0,6
24,none,0,0,-1,-1,1,0,0,0,-1,6
8,none,1,-1,1,1,0,-1,-1,0,0,6
73,va,2,1,0,1,0,1,2,1,0,6
92,popular,1,0,0,0,1,1,0,0,0,6
4,va,0,0,1,1,0,1,0,0,0,6
66,none,1,0,0,0,-1,0,0,0,0,6
23,popular,1,0,0,1,0,0,0,2,0,6
61,none,-1,1,0,0,-1,1,0,0,0,6
1,va,1,0,0,0,1,0,0,0,0,6
13,va,-1,0,0,1,0,0,0,-1,0,6
54,none,1,0,1,0,0,0,-1,0,0,6
76,popular,1,0,1,0,-1,0,0,1,0,6
8,lyrics,2,-1,1,1,-2,-1,-2,2,-1,3
45,popular,1,0,1,1,-1,-1,-1,1,-1,3
15,lyrics,1,0,1,0,-1,1,0,0,0,6
5,lyrics,-2,2,-2,-2,2,2,2,-2,2,3
3,lyrics,2,1,-1,0,1,0,2,1,0,6
73,popular,1,1,-1,2,-1,0,1,1,0,3
90,lyrics,1,0,0,0,0,0,0,0,0,6
65,none,-1,-1,1,1,-1,1,-1,-1,2,3
34,va,2,2,-1,1,-1,0,1,1,2,3
19,va,-2,-2,1,-1,-1,-1,-1,-1,-1,3
92,va,1,0,-1,2,1,1,-1,1,1,3
92,lyrics,1,1,0,0,0,1,1,0,1,6
36,none,-1,-1,1,0,-1,0,-1,-1,-1,3
81,popular,1,1,-1,1,-1,-1,1,1,1,3
59,popular,-1,1,1,-2,-1,2,2,-2,1,3
96,none,0,0,-1,-1,2,1,1,-1,1,6
44,popular,1,1,0,0,0,1,1,0,0,6
34,none,1,1,1,0,-1,0,0,0,1,6
60,popular,1,0,0,0,-1,0,0,1,0,6
36,lyrics,0,0,1,0,-1,0,0,-2,0,6
58,none,1,1,0,1,-1,0,0,0,1,6
27,none,1,1,1,0,1,2,1,-1,1,6
38,va,-1,1,-1,-1,-1,0,0,-2,0,6
40,va,2,0,1,2,-1,-1,0,1,0,6
13,popular,-1,0,0,-2,0,0,0,-2,0,6
70,va,-1,1,0,-1,-1,1,1,-2,1,6
93,va,1,0,1,0,-1,0,0,1,0,6
29,popular,1,1,-1,1,0,1,1,1,1,3
20,va,-1,0,0,-1,-1,1,0,-2,0,6
51,none,1,1,0,0,0,0,0,-1,0,6
84,va,0,0,-1,1,0,0,1,1,-1,3
82,none,1,-1,-1,2,-1,-1,-1,2,2,3
65,popular,-1,0,1,0,-1,1,-1,-1,0,6
26,none,1,1,-1,0,-1,0,0,1,0,6
39,lyrics,1,1,-2,1,1,1,2,0,1,3
61,lyrics,-1,-1,1,-1,0,1,-1,-1,2,3
59,va,-1,1,0,0,-1,1,1,-1,1,6
64,none,1,-1,-1,1,1,-2,-2,-2,-1,3
4,lyrics,1,1,-1,1,1,1,1,1,1,3
86,popular,0,0,0,-1,-1,0,0,0,0,6
43,lyrics,1,-1,1,0,-1,1,-1,0,0,6
51,lyrics,-1,1,-2,-2,1,1,1,-1,1,3
40,popular,1,-1,1,1,1,-1,-1,1,-1,3
98,none,-1,-1,1,0,-1,0,-1,0,0,6
90,none,1,0,-1,-1,0,0,0,0,0,6
89,va,1,2,-1,0,-1,1,2,0,1,6
91,lyrics,0,-1,1,1,-1,0,-1,0,0,6
77,popular,1,2,-1,0,-1,2,1,0,1,6
7,va,1,0,1,1,-1,0,-1,0,0,6
48,va,1,1,0,0,0,0,0,0,0,6
87,va,1,1,1,0,0,0,0,0,0,6
97,lyrics,1,1,-2,1,1,1,1,1,0,7
62,va,1,0,0,0,-1,0,0,0,0,6
7,lyrics,2,0,-1,2,-2,0,0,2,-1,7
55,popular,2,0,-2,1,-2,-2,0,1,0,7
52,popular,0,0,1,1,-1,1,-1,0,1,6
33,popular,1,1,0,0,0,1,1,0,1,6
32,va,1,2,-2,1,-2,0,1,1,2,7
74,va,-2,0,-2,-2,1,-2,0,-2,-1,7
94,popular,0,1,1,0,-1,0,0,0,0,6
78,popular,1,1,0,1,-2,-2,0,2,2,7
79,none,1,0,1,1,-1,0,0,1,0,6
48,lyrics,2,0,0,2,-2,-2,0,2,0,7
96,va,-2,-1,-2,-2,0,-2,0,-2,-2,7
38,popular,-2,-2,0,-2,-2,-2,0,-2,-1,7
28,lyrics,1,0,0,0,0,0,0,1,0,6
71,lyrics,1,2,1,0,0,0,2,0,1,6
17,lyrics,1,0,2,2,-2,-2,-1,2,0,7
78,lyrics,1,0,0,1,0,-1,0,1,0,6
29,popular,0,-2,2,2,-2,-2,-1,2,0,7
94,va,2,1,-2,0,-2,1,1,0,2,7
99,lyrics,1,0,0,1,-1,0,0,0,0,6
67,none,1,0,0,0,1,-1,0,0,-1,6
15,none,0,0,1,1,0,1,0,0,0,6
83,lyrics,1,1,-1,0,1,1,2,1,1,6
73,none,1,1,-1,0,0,1,1,1,1,6
14,lyrics,0,-1,1,0,-1,0,-1,0,0,6
54,lyrics,1,0,1,0,-1,0,-1,0,0,6
41,none,1,-1,2,1,-1,0,-2,0,0,6
75,none,1,0,0,0,0,0,0,0,0,6
76,none,1,0,0,1,0,-1,0,1,0,6
31,va,1,1,0,1,0,1,0,0,0,6
46,none,1,1,0,0,0,1,1,0,0,6
82,lyrics,1,-1,2,2,-1,-1,-1,0,-1,6
16,popular,1,-1,1,0,0,0,-1,0,0,6
25,va,-1,0,-1,-1,2,1,0,-1,0,6
10,popular,1,0,0,-1,0,0,0,0,0,6
42,popular,1,1,1,0,0,0,0,0,0,6
81,lyrics,0,0,1,0,-1,-1,0,1,0,6
88,va,0,1,1,0,1,0,1,-1,0,6
1,lyrics,1,0,0,0,0,0,0,0,0,6
56,none,1,0,1,0,0,0,0,1,0,6
57,none,2,1,0,0,1,0,0,2,0,6
8,popular,-1,0,1,0,0,0,-1,-1,0,6
63,va,1,0,0,0,-1,0,0,1,0,6
32,lyrics,1,0,0,1,0,0,0,1,0,6
37,va,1,0,-1,0,2,0,0,0,0,6
95,none,1,-1,1,1,-1,0,-1,0,0,6
64,popular,0,0,0,1,-1,-1,0,0,0,6
22,none,2,0,1,0,-1,0,-1,2,0,6
76,popular,1,1,-1,2,-1,-2,0,2,1,8
47,none,1,2,-2,-2,-1,2,2,0,1,8
9,lyrics,1,1,0,0,-1,0,1,0,0,6
17,va,0,-1,1,0,0,0,-1,0,-1,6
83,va,1,1,0,1,0,0,1,0,0,8
59,none,-1,0,1,-2,-2,1,1,-1,0,8
68,va,1,-1,1,1,1,-1,-1,1,2,8
97,va,2,2,0,0,0,0,2,1,0,6
2,none,2,1,1,0,0,1,0,1,0,6
24,none,-2,-1,0,-1,0,-2,-2,-1,-2,8
21,popular,2,2,0,0,0,2,2,1,2,6
47,va,-1,2,0,0,0,1,1,0,0,6
78,va,1,0,1,1,-2,-2,0,1,1,8
66,popular,1,1,0,0,0,0,0,0,0,6
79,lyrics,2,1,0,1,-2,-1,1,2,2,8
4,none,0,1,1,0,0,1,1,0,0,6
26,va,2,0,0,1,-2,-2,-1,1,1,8
31,popular,0,0,1,-1,0,0,1,0,0,8
97,none,1,1,-2,0,1,0,1,0,0,8
41,popular,0,-1,1,1,0,-2,-1,1,0,8
5,none,-2,1,-2,-2,1,1,1,-2,-1,8
94,lyrics,1,0,1,-1,0,0,0,0,2,8
1,va,1,-1,1,1,1,-1,-1,2,1,8
88,lyrics,-1,1,1,-2,0,1,2,0,1,8
28,popular,2,1,1,2,0,-2,-1,2,2,8
49,lyrics,1,1,-1,0,0,0,1,1,2,8
15,lyrics,0,-1,1,-1,0,0,-1,-1,1,8
38,lyrics,-1,-1,1,-1,-2,-2,1,-2,1,8
71,none,2,1,1,1,1,-1,-1,1,2,8
29,none,1,1,1,0,0,0,-1,1,0,6
63,popular,0,-1,0,0,0,-1,1,0,0,8
35,popular,1,0,-1,0,0,-1,0,1,0,6
57,popular,1,-1,-1,1,1,-2,0,1,-1,8
69,popular,1,-1,0,1,-1,-1,-1,1,0,4
